Nationality;Periods;TotalResidencePermitsAsylum_1;RefugeeStatusBeneficiaryStatus_2;HumanitarianReasons_3;TotalOrdinaryResidencePermit_4;TotalFamilyReunificationFormation_5;HusbandWife_6;ChildUnder18_7;OtherFamilyReunification_8;Study_9;TotalLabour_10;HighlySkilledMigrantBlueCardHolder_11;Researcher_12;OtherLabour_13;VictimOfHumanTrade_14;OtherOrdinary_15;SinglePermitGVVA_16
T001059  ;2008JJ00;6090;       .;       .;56495;24085;11650;9770;2665;8850;11615;6410;865;4340;0;11945;
T001059  ;2009JJ00;8490;4475;4015;48000;23080;11195;8860;3020;9945;10435;4895;1305;4235;0;4545;
T001059  ;2010JJ00;8680;5300;3380;45800;21565;10905;8100;2560;10510;10450;5530;1485;3430;0;3275;
T001059  ;2011JJ00;8380;6040;2345;46690;22325;11730;8220;2375;10700;10960;5595;1615;3750;340;2365;
T001059  ;2012JJ00;5920;4315;1605;45240;21160;10015;8540;2605;10745;10920;5515;1690;3715;320;2095;
T001059  ;2013JJ00;9545;4695;4850;55195;25375;12255;11065;2055;12880;12675;7045;2365;3260;210;4055;
T001059  ;2014JJ00;18620;12465;6155;50950;22115;11520;9505;1090;12745;11780;7130;2310;2340;180;4125;545
T001059  ;2015JJ00;31085;16895;14190;55605;21685;11075;9210;1395;15265;13310;7930;2420;2960;135;5215;1160
T001059  ;2016JJ00;34250;21990;12260;61505;24960;12590;10600;1770;16315;14620;9125;2520;2975;120;5485;935
T001059  ;2017JJ00;25815;10565;15250;71580;30970;13735;12340;4890;17240;17745;11310;2750;3685;155;5480;1785
T001059  ;2018JJ00;12445;5335;7110;79620;34035;15265;13770;5005;18470;20885;13510;3065;4310;290;5940;2050
T001059  ;2019JJ00;11890;6940;4950;90240;38655;17045;15655;5955;20180;22030;14335;3240;4455;385;8995;2590
T001059  ;2020JJ00;14045;9200;4850;59465;28870;12585;11690;4595;11645;13345;8170;2430;2745;155;5445;2935
NAT9278  ;2008JJ00;200;0;0;625;325;180;120;20;5;5;0;0;5;0;290;
NAT9278  ;2009JJ00;320;210;115;580;300;200;80;15;25;5;0;0;0;0;255;
NAT9278  ;2010JJ00;755;520;235;390;300;190;100;10;40;0;0;0;0;0;55;
NAT9278  ;2011JJ00;1375;920;450;310;265;170;85;15;25;0;0;0;0;0;20;
NAT9278  ;2012JJ00;705;460;245;275;235;105;110;20;10;5;0;0;5;0;25;
NAT9278  ;2013JJ00;715;415;300;420;355;190;105;60;20;5;0;0;0;0;40;
NAT9278  ;2014JJ00;585;400;185;340;305;175;90;45;10;0;0;0;0;0;25;
NAT9278  ;2015JJ00;500;355;145;345;280;150;80;50;20;5;0;0;0;0;40;
NAT9278  ;2016JJ00;700;530;175;370;320;185;90;50;15;0;0;0;0;0;35;
NAT9278  ;2017JJ00;880;635;245;425;355;145;85;120;15;0;0;0;0;0;55;
NAT9278  ;2018JJ00;630;305;325;675;585;235;90;260;20;0;0;0;0;0;70;
NAT9278  ;2019JJ00;360;195;165;590;465;170;120;175;10;5;5;0;0;0;110;
NAT9278  ;2020JJ00;375;230;150;425;375;165;100;115;20;5;0;0;0;0;25;
NAT9279  ;2008JJ00;0;0;0;125;60;20;5;35;25;10;10;0;0;0;30;
NAT9279  ;2009JJ00;0;0;0;125;70;15;5;50;40;5;5;0;0;0;5;
NAT9279  ;2010JJ00;0;0;0;105;55;15;5;35;35;5;5;0;0;0;5;
NAT9279  ;2011JJ00;0;0;0;85;45;10;5;25;40;5;0;5;0;0;0;
NAT9279  ;2012JJ00;0;0;0;120;55;15;5;40;55;10;5;5;0;0;0;
NAT9279  ;2013JJ00;0;0;0;155;75;25;35;15;50;10;5;5;0;0;15;
NAT9279  ;2014JJ00;0;0;0;175;40;20;15;10;80;15;10;5;5;0;35;
NAT9279  ;2015JJ00;5;0;5;180;25;20;0;5;75;15;10;0;5;5;60;
NAT9279  ;2016JJ00;5;0;0;235;45;20;15;10;105;20;15;0;5;0;60;
NAT9279  ;2017JJ00;0;0;0;255;65;25;15;25;95;35;25;5;5;0;60;
NAT9279  ;2018JJ00;5;0;0;265;75;40;20;15;85;35;25;5;5;0;75;
NAT9279  ;2019JJ00;5;5;5;350;120;60;35;30;95;45;30;0;15;0;90;
NAT9279  ;2020JJ00;0;0;0;245;80;35;25;20;85;25;15;5;5;0;55;
NAT9280  ;2008JJ00;0;0;0;255;50;25;10;15;0;15;10;0;0;0;190;
NAT9280  ;2009JJ00;0;0;0;100;55;35;10;10;0;10;5;5;0;0;35;
NAT9280  ;2010JJ00;0;0;0;70;50;30;5;15;5;5;5;0;0;0;10;
NAT9280  ;2011JJ00;0;0;0;75;50;20;20;10;0;15;15;0;0;0;5;
NAT9280  ;2012JJ00;0;0;0;65;50;25;15;10;5;10;10;0;0;0;0;
NAT9280  ;2013JJ00;5;0;0;85;60;30;25;5;5;10;10;5;0;0;5;
NAT9280  ;2014JJ00;5;5;0;70;45;30;15;5;0;15;10;5;0;0;10;
NAT9280  ;2015JJ00;10;0;10;60;30;25;10;0;10;10;5;0;5;0;10;
NAT9280  ;2016JJ00;5;0;5;70;40;20;15;5;10;10;10;5;0;0;10;
NAT9280  ;2017JJ00;5;5;0;100;60;30;20;10;10;10;5;5;0;0;20;
NAT9280  ;2018JJ00;10;5;0;90;50;30;5;10;10;15;10;5;0;0;15;
NAT9280  ;2019JJ00;0;0;0;125;75;30;20;25;5;25;10;5;10;0;25;
NAT9280  ;2020JJ00;5;5;0;105;75;40;10;25;5;10;10;0;0;0;10;
NAT9281  ;2008JJ00;0;0;0;4410;1750;775;770;205;1085;1385;840;45;505;0;190;
NAT9281  ;2009JJ00;0;0;0;4035;1485;730;595;160;1285;1120;705;75;340;0;145;
NAT9281  ;2010JJ00;0;0;0;4160;1430;710;565;155;1290;1290;795;85;405;0;150;
NAT9281  ;2011JJ00;0;0;0;4375;1630;795;665;165;1440;1150;790;85;275;0;155;
NAT9281  ;2012JJ00;0;0;0;4470;1715;785;765;170;1320;1325;830;90;405;0;110;
NAT9281  ;2013JJ00;0;0;0;4800;1735;820;870;50;1445;1475;885;125;465;0;140;
NAT9281  ;2014JJ00;0;0;0;4925;1800;945;810;50;1420;1550;945;105;500;0;155;
NAT9281  ;2015JJ00;5;0;5;5795;1795;940;810;50;1940;1800;1035;155;615;0;260;
NAT9281  ;2016JJ00;0;0;0;5860;1775;915;800;60;2120;1715;980;125;605;0;255;
NAT9281  ;2017JJ00;5;0;5;6495;2055;1095;880;80;2145;2065;1235;180;650;0;230;
NAT9281  ;2018JJ00;10;0;10;6950;2115;1120;895;100;2395;2140;1340;190;610;0;295;
NAT9281  ;2019JJ00;15;5;10;7405;2290;1175;965;150;2510;2200;1305;170;725;0;405;
NAT9281  ;2020JJ00;15;10;5;4285;1760;1020;655;85;850;1435;850;125;465;0;235;
NAT9283  ;2008JJ00;10;0;0;480;55;15;25;10;0;0;0;0;0;0;425;
NAT9283  ;2009JJ00;25;15;10;165;55;15;20;20;0;10;5;0;0;0;100;
NAT9283  ;2010JJ00;15;5;10;90;50;5;20;25;0;0;0;0;0;0;40;
NAT9283  ;2011JJ00;5;5;0;60;30;5;15;10;5;0;0;0;0;15;10;
NAT9283  ;2012JJ00;5;0;0;50;30;10;15;10;0;0;0;0;0;10;5;
NAT9283  ;2013JJ00;0;0;0;110;70;5;30;35;0;0;0;0;0;5;30;
NAT9283  ;2014JJ00;5;0;0;75;50;15;20;15;0;0;0;0;0;5;20;
NAT9283  ;2015JJ00;0;0;0;45;30;5;20;5;5;0;0;0;0;0;10;
NAT9283  ;2016JJ00;0;0;0;40;20;5;10;5;0;0;0;0;0;0;15;
NAT9283  ;2017JJ00;0;0;0;50;35;5;10;20;0;0;0;0;0;5;10;
NAT9283  ;2018JJ00;0;0;0;45;35;5;10;15;0;0;0;0;0;5;5;
NAT9283  ;2019JJ00;0;0;0;55;40;0;20;20;0;0;0;0;0;0;10;
NAT9283  ;2020JJ00;0;0;0;45;30;5;15;15;0;0;0;0;0;0;15;
NAT9285  ;2008JJ00;0;0;0;170;75;30;10;30;25;50;40;0;10;0;20;
NAT9285  ;2009JJ00;0;0;0;155;55;30;10;15;30;50;25;5;20;0;25;
NAT9285  ;2010JJ00;0;0;0;155;45;30;5;15;35;50;25;10;20;0;20;
NAT9285  ;2011JJ00;0;0;0;170;65;30;15;20;35;40;20;10;10;0;25;
NAT9285  ;2012JJ00;0;0;0;150;55;25;10;20;30;40;20;10;10;0;20;
NAT9285  ;2013JJ00;0;0;0;260;105;50;50;5;50;75;50;10;10;0;30;
NAT9285  ;2014JJ00;0;0;0;190;60;45;10;0;35;60;25;15;20;0;35;
NAT9285  ;2015JJ00;0;0;0;205;60;35;20;5;45;65;30;5;30;0;40;
NAT9285  ;2016JJ00;0;0;0;255;70;45;10;10;60;80;45;5;30;0;45;
NAT9285  ;2017JJ00;0;0;0;380;75;55;10;10;80;90;45;10;30;0;135;
NAT9285  ;2018JJ00;0;0;0;405;80;50;20;10;85;90;55;5;30;0;150;
NAT9285  ;2019JJ00;0;0;0;515;135;80;35;15;60;135;95;20;25;0;185;
NAT9285  ;2020JJ00;0;0;0;285;100;50;25;25;25;85;55;15;15;0;75;
NAT9286  ;2008JJ00;25;0;0;290;60;40;15;5;10;10;5;0;0;0;210;
NAT9286  ;2009JJ00;80;30;50;115;70;40;15;15;15;10;10;0;0;0;25;
NAT9286  ;2010JJ00;165;85;75;105;75;45;20;15;15;5;0;0;0;0;10;
NAT9286  ;2011JJ00;75;40;35;120;90;55;30;10;15;5;5;0;0;0;10;
NAT9286  ;2012JJ00;35;15;20;150;110;60;25;20;20;10;5;0;5;5;10;
NAT9286  ;2013JJ00;15;10;10;300;230;60;75;95;10;5;0;0;5;5;45;
NAT9286  ;2014JJ00;20;5;15;175;130;65;55;10;25;5;5;0;5;0;15;
NAT9286  ;2015JJ00;20;15;5;175;120;65;40;10;15;10;5;5;0;5;30;
NAT9286  ;2016JJ00;20;10;10;175;115;60;40;20;15;10;5;0;0;0;30;
NAT9286  ;2017JJ00;15;10;5;160;105;45;35;25;10;15;10;0;5;0;30;
NAT9286  ;2018JJ00;5;5;0;190;120;55;35;30;15;10;10;0;0;5;40;
NAT9286  ;2019JJ00;10;5;5;535;150;60;55;35;10;10;5;5;0;0;365;
NAT9286  ;2020JJ00;5;5;0;145;75;30;30;20;25;10;5;0;0;0;35;
NAT9287  ;2008JJ00;0;0;0;955;230;115;65;50;160;210;160;10;40;0;355;
NAT9287  ;2009JJ00;0;0;0;870;175;80;55;40;130;185;150;0;35;0;380;
NAT9287  ;2010JJ00;0;0;0;995;190;95;55;40;115;185;140;10;30;0;505;
NAT9287  ;2011JJ00;0;0;0;870;210;105;55;45;120;150;125;10;15;0;390;
NAT9287  ;2012JJ00;0;0;0;810;195;100;50;45;105;135;105;5;20;0;380;
NAT9287  ;2013JJ00;0;0;0;1105;165;80;80;5;115;180;140;15;25;0;645;
NAT9287  ;2014JJ00;0;0;0;1190;230;140;80;15;125;200;155;20;25;0;630;
NAT9287  ;2015JJ00;0;0;0;1450;215;135;70;10;180;205;160;20;25;0;850;
NAT9287  ;2016JJ00;0;0;0;1505;235;145;70;15;230;225;160;35;30;0;820;
NAT9287  ;2017JJ00;0;0;0;1530;215;130;60;30;250;225;170;25;25;0;845;
NAT9287  ;2018JJ00;0;0;0;1745;290;170;90;30;310;285;220;35;30;0;860;
NAT9287  ;2019JJ00;0;0;0;1805;315;175;100;35;340;345;270;40;35;0;805;
NAT9287  ;2020JJ00;0;0;0;835;250;140;75;35;55;200;155;15;30;0;330;
NAT9288  ;2008JJ00;25;0;0;425;35;15;5;15;15;5;5;0;0;0;365;
NAT9288  ;2009JJ00;60;25;35;85;30;10;10;10;20;0;0;0;0;0;35;
NAT9288  ;2010JJ00;65;45;20;75;25;10;5;10;30;5;0;0;5;0;15;
NAT9288  ;2011JJ00;40;15;25;90;40;20;10;10;40;5;5;0;0;0;5;
NAT9288  ;2012JJ00;15;10;5;90;25;10;10;10;35;15;0;0;10;5;15;
NAT9288  ;2013JJ00;20;15;5;170;80;20;20;40;45;15;15;0;0;0;30;
NAT9288  ;2014JJ00;10;10;5;125;35;20;15;0;50;5;5;0;0;0;25;
NAT9288  ;2015JJ00;15;15;0;105;30;10;15;0;45;10;5;0;5;0;20;
NAT9288  ;2016JJ00;5;5;0;150;60;30;20;10;65;10;5;0;0;0;20;
NAT9288  ;2017JJ00;5;5;0;115;40;20;15;5;45;20;15;0;5;0;5;
NAT9288  ;2018JJ00;10;10;0;175;70;40;25;5;55;40;25;0;15;0;10;
NAT9288  ;2019JJ00;15;10;5;305;75;35;35;5;95;90;25;5;65;0;40;
NAT9288  ;2020JJ00;20;10;10;225;70;20;30;15;65;70;20;5;45;0;15;
NAT9294  ;2008JJ00;0;0;0;105;30;20;5;5;35;15;10;0;5;0;25;
NAT9294  ;2009JJ00;0;0;0;115;30;20;10;0;55;15;10;0;5;0;15;
NAT9294  ;2010JJ00;5;5;0;125;55;30;25;0;45;20;10;5;0;0;5;
NAT9294  ;2011JJ00;5;0;0;125;50;30;15;5;55;20;15;5;0;0;0;
NAT9294  ;2012JJ00;5;5;0;130;45;30;15;0;50;35;20;10;5;0;0;
NAT9294  ;2013JJ00;10;5;10;180;70;30;40;5;80;25;10;10;5;0;5;
NAT9294  ;2014JJ00;5;5;0;135;45;25;15;0;50;40;15;25;0;0;0;
NAT9294  ;2015JJ00;5;0;5;235;55;35;20;0;110;60;35;15;10;0;10;
NAT9294  ;2016JJ00;10;10;0;315;65;40;25;0;200;40;15;20;5;0;15;
NAT9294  ;2017JJ00;5;5;0;265;80;40;15;20;145;25;15;10;5;0;15;
NAT9294  ;2018JJ00;0;0;0;230;70;45;25;5;80;50;25;15;10;0;30;
NAT9294  ;2019JJ00;5;5;0;380;100;45;40;15;215;50;15;15;20;0;15;
NAT9294  ;2020JJ00;5;0;0;400;90;55;30;5;265;40;15;15;10;0;10;
NAT9296  ;2008JJ00;35;0;0;30;0;0;0;0;25;0;0;0;0;0;5;
NAT9296  ;2009JJ00;45;25;25;45;0;0;0;0;45;0;0;0;0;0;0;
NAT9296  ;2010JJ00;45;25;20;35;0;0;0;0;35;0;0;0;0;0;0;
NAT9296  ;2011JJ00;55;40;15;20;0;0;0;0;20;0;0;0;0;0;0;
NAT9296  ;2012JJ00;0;0;0;15;0;0;0;0;15;0;0;0;0;0;0;
NAT9296  ;2013JJ00;0;0;0;25;5;0;0;0;20;0;0;0;0;0;0;
NAT9296  ;2014JJ00;0;0;0;15;0;0;0;0;10;0;0;0;0;0;0;
NAT9296  ;2015JJ00;0;0;0;20;0;0;0;0;20;0;0;0;0;0;0;
NAT9296  ;2016JJ00;0;0;0;10;0;0;0;0;5;0;0;0;0;0;0;
NAT9296  ;2017JJ00;0;0;0;10;5;0;0;0;5;0;0;0;0;0;0;
NAT9296  ;2018JJ00;0;0;0;25;0;0;0;0;20;0;0;0;0;0;5;
NAT9296  ;2019JJ00;0;0;0;10;0;0;0;0;10;0;0;0;0;0;0;
NAT9296  ;2020JJ00;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;
NAT9297  ;2008JJ00;0;0;0;65;30;20;5;5;20;10;0;5;5;0;0;
NAT9297  ;2009JJ00;0;0;0;60;25;15;0;5;25;10;5;5;0;0;5;
NAT9297  ;2010JJ00;0;0;0;55;20;10;0;10;20;10;0;5;5;0;5;
NAT9297  ;2011JJ00;0;0;0;40;15;5;5;5;20;5;0;5;5;0;0;
NAT9297  ;2012JJ00;0;0;0;40;15;10;0;5;20;5;0;0;5;0;0;
NAT9297  ;2013JJ00;0;0;0;45;20;15;0;5;15;5;0;0;0;0;0;
NAT9297  ;2014JJ00;0;0;0;35;15;10;0;0;10;0;0;0;0;0;10;
NAT9297  ;2015JJ00;0;0;0;35;15;10;5;0;5;5;0;0;0;0;10;
NAT9297  ;2016JJ00;0;0;0;35;10;10;0;0;10;5;0;5;5;0;5;
NAT9297  ;2017JJ00;0;0;0;30;10;5;0;0;10;5;0;0;0;0;5;
NAT9297  ;2018JJ00;0;0;0;55;15;10;5;5;15;10;5;0;5;0;10;
NAT9297  ;2019JJ00;0;0;0;60;40;15;10;15;10;5;0;0;0;0;10;
NAT9297  ;2020JJ00;0;0;0;35;15;5;5;5;5;5;0;5;0;0;5;
NAT9298  ;2008JJ00;0;0;0;345;120;85;25;10;5;55;5;0;50;0;165;
NAT9298  ;2009JJ00;0;0;0;280;115;85;20;15;5;95;5;0;90;0;65;
NAT9298  ;2010JJ00;0;0;0;180;100;70;20;5;10;35;5;0;30;0;35;
NAT9298  ;2011JJ00;0;0;0;415;120;90;25;5;15;250;0;5;245;0;30;
NAT9298  ;2012JJ00;0;0;0;160;110;65;25;20;20;10;0;0;5;0;25;
NAT9298  ;2013JJ00;0;0;0;195;105;65;30;15;15;20;5;0;15;0;50;
NAT9298  ;2014JJ00;0;0;0;170;105;75;25;5;15;10;5;0;5;0;40;
NAT9298  ;2015JJ00;0;0;0;165;105;65;40;5;20;20;15;0;5;0;20;
NAT9298  ;2016JJ00;0;0;0;170;105;80;20;5;15;20;15;0;5;5;25;
NAT9298  ;2017JJ00;0;0;0;165;110;75;25;10;20;15;15;0;0;0;20;
NAT9298  ;2018JJ00;0;0;0;200;140;80;30;35;20;20;20;5;0;0;15;
NAT9298  ;2019JJ00;0;0;0;220;130;65;30;40;25;20;15;5;5;0;45;
NAT9298  ;2020JJ00;0;0;0;120;80;40;25;15;15;10;5;0;5;0;15;
NAT9300  ;2008JJ00;0;0;0;1315;765;380;175;210;135;340;135;50;160;0;75;
NAT9300  ;2009JJ00;0;0;0;1235;745;405;170;170;150;290;80;80;130;0;50;
NAT9300  ;2010JJ00;0;0;0;1220;660;340;160;160;180;310;100;70;145;0;70;
NAT9300  ;2011JJ00;0;0;0;1215;675;355;145;170;175;290;90;90;105;5;70;
NAT9300  ;2012JJ00;0;0;0;1175;495;245;100;150;335;290;75;110;105;10;45;
NAT9300  ;2013JJ00;0;0;0;1930;595;315;205;75;750;450;105;205;135;0;130;
NAT9300  ;2014JJ00;0;0;0;1785;445;285;130;30;785;445;130;235;80;5;105;
NAT9300  ;2015JJ00;0;0;0;2025;545;365;145;35;765;495;200;195;100;5;215;
NAT9300  ;2016JJ00;0;0;0;1720;585;395;135;55;340;490;260;125;105;0;305;
NAT9300  ;2017JJ00;0;0;0;2420;870;535;250;90;405;835;480;200;155;0;300;
NAT9300  ;2018JJ00;0;0;0;2925;1125;660;305;160;395;1055;635;205;210;5;350;
NAT9300  ;2019JJ00;0;0;0;3080;1215;705;305;205;365;875;625;185;70;5;620;
NAT9300  ;2020JJ00;0;0;0;2000;815;495;220;105;170;535;380;120;35;10;475;
NAT9305  ;2008JJ00;110;0;0;75;35;5;25;5;0;0;0;0;0;0;40;
NAT9305  ;2009JJ00;65;15;50;65;50;10;30;10;0;0;0;0;0;0;15;
NAT9305  ;2010JJ00;40;15;25;35;25;10;5;10;0;0;0;0;0;0;10;
NAT9305  ;2011JJ00;10;5;5;35;25;5;10;10;5;0;0;0;0;0;5;
NAT9305  ;2012JJ00;15;5;10;35;20;5;10;5;5;0;0;0;0;0;10;
NAT9305  ;2013JJ00;10;0;10;135;75;5;25;40;0;0;0;0;0;0;60;
NAT9305  ;2014JJ00;10;0;5;30;20;5;10;5;0;5;0;5;0;0;10;
NAT9305  ;2015JJ00;10;5;0;35;20;5;5;10;5;0;0;0;0;0;10;
