"ID";"Nationality";"Periods";"TotalResidencePermitsAsylum_1";"RefugeeStatusBeneficiaryStatus_2";"HumanitarianReasons_3";"TotalOrdinaryResidencePermit_4";"TotalFamilyReunificationFormation_5";"HusbandWife_6";"ChildUnder18_7";"OtherFamilyReunification_8";"Study_9";"TotalLabour_10";"HighlySkilledMigrantBlueCardHolder_11";"Researcher_12";"OtherLabour_13";"VictimOfHumanTrade_14";"OtherOrdinary_15";"SinglePermitGVVA_16"
"0";"T001059  ";"2008JJ00";"    6090";"       .";"       .";"   56495";"   24085";"   11650";"    9770";"    2665";"    8850";"   11615";"    6410";"     865";"    4340";"       0";"   11945";""
"1";"T001059  ";"2009JJ00";"    8490";"    4475";"    4015";"   48000";"   23080";"   11195";"    8860";"    3020";"    9945";"   10435";"    4895";"    1305";"    4235";"       0";"    4545";""
"2";"T001059  ";"2010JJ00";"    8680";"    5300";"    3380";"   45800";"   21565";"   10905";"    8100";"    2560";"   10510";"   10450";"    5530";"    1485";"    3430";"       0";"    3275";""
"3";"T001059  ";"2011JJ00";"    8380";"    6040";"    2345";"   46690";"   22325";"   11730";"    8220";"    2375";"   10700";"   10960";"    5595";"    1615";"    3750";"     340";"    2365";""
"4";"T001059  ";"2012JJ00";"    5920";"    4315";"    1605";"   45240";"   21160";"   10015";"    8540";"    2605";"   10745";"   10920";"    5515";"    1690";"    3715";"     320";"    2095";""
"5";"T001059  ";"2013JJ00";"    9545";"    4695";"    4850";"   55195";"   25375";"   12255";"   11065";"    2055";"   12880";"   12675";"    7045";"    2365";"    3260";"     210";"    4055";""
"6";"T001059  ";"2014JJ00";"   18620";"   12465";"    6155";"   50950";"   22115";"   11520";"    9505";"    1090";"   12745";"   11780";"    7130";"    2310";"    2340";"     180";"    4125";"     545"
"7";"T001059  ";"2015JJ00";"   31085";"   16895";"   14190";"   55605";"   21685";"   11075";"    9210";"    1395";"   15265";"   13310";"    7930";"    2420";"    2960";"     135";"    5215";"    1160"
"8";"T001059  ";"2016JJ00";"   34250";"   21990";"   12260";"   61505";"   24960";"   12590";"   10600";"    1770";"   16315";"   14620";"    9125";"    2520";"    2975";"     120";"    5485";"     935"
"9";"T001059  ";"2017JJ00";"   25815";"   10565";"   15250";"   71580";"   30970";"   13735";"   12340";"    4890";"   17240";"   17745";"   11310";"    2750";"    3685";"     155";"    5480";"    1785"
"10";"T001059  ";"2018JJ00";"   12445";"    5335";"    7110";"   79620";"   34035";"   15265";"   13770";"    5005";"   18470";"   20885";"   13510";"    3065";"    4310";"     290";"    5940";"    2050"
"11";"T001059  ";"2019JJ00";"   11890";"    6940";"    4950";"   90240";"   38655";"   17045";"   15655";"    5955";"   20180";"   22030";"   14335";"    3240";"    4455";"     385";"    8995";"    2590"
"12";"T001059  ";"2020JJ00";"   14045";"    9200";"    4850";"   59465";"   28870";"   12585";"   11690";"    4595";"   11645";"   13345";"    8170";"    2430";"    2745";"     155";"    5445";"    2935"
"13";"NAT9278  ";"2008JJ00";"     200";"       0";"       0";"     625";"     325";"     180";"     120";"      20";"       5";"       5";"       0";"       0";"       5";"       0";"     290";""
"14";"NAT9278  ";"2009JJ00";"     320";"     210";"     115";"     580";"     300";"     200";"      80";"      15";"      25";"       5";"       0";"       0";"       0";"       0";"     255";""
"15";"NAT9278  ";"2010JJ00";"     755";"     520";"     235";"     390";"     300";"     190";"     100";"      10";"      40";"       0";"       0";"       0";"       0";"       0";"      55";""
"16";"NAT9278  ";"2011JJ00";"    1375";"     920";"     450";"     310";"     265";"     170";"      85";"      15";"      25";"       0";"       0";"       0";"       0";"       0";"      20";""
"17";"NAT9278  ";"2012JJ00";"     705";"     460";"     245";"     275";"     235";"     105";"     110";"      20";"      10";"       5";"       0";"       0";"       5";"       0";"      25";""
