psraid,sample,segment,int_date,lang,scregion,sstate
100002,1,1,22916,1,1,3
100003,1,1,22916,1,1,1
100008,1,1,22916,1,1,2
100010,1,1,22916,1,1,1
100014,1,1,22916,1,1,2
100018,1,1,30516,1,1,3
100020,1,1,31216,1,1,3
100022,1,1,30316,1,1,1
100026,1,1,30116,1,1,3
100029,1,1,22916,1,1,2
100031,1,1,30416,1,1,1
100057,1,1,22916,1,1,2
100060,1,1,22916,1,1,3
100077,1,1,30316,1,1,3
100081,1,1,22916,1,1,3
100082,1,1,22916,1,1,2
100089,1,1,30816,1,1,3
100092,1,1,30316,2,2,3
100093,1,1,22916,1,1,3
100094,1,1,31916,1,1,1
100095,1,1,22916,1,1,3
100099,1,1,22916,1,1,3
100101,1,1,22916,1,1,3
100107,1,1,30116,1,1,4
100111,1,1,31216,1,1,4
100113,1,1,22916,1,1,2
100115,1,1,30516,1,1,4
100117,1,1,22916,1,1,4
100126,1,1,22916,1,1,4
100129,1,1,30516,1,1,4
100130,1,1,30516,1,1,4
100134,1,1,22916,1,1,4
100136,1,1,22916,1,1,3
100142,1,1,32116,1,1,1
100147,1,1,22916,1,1,3
100148,1,1,22916,1,1,1
100159,1,1,22916,1,1,1
100160,1,1,22916,1,1,3
100167,1,1,22916,1,1,4
100169,1,1,22916,1,1,2
100171,1,1,31216,1,1,1
100172,1,1,41616,2,2,4
100176,1,1,30316,1,1,3
100184,1,1,50816,1,1,4
100197,1,1,22916,1,1,3
100201,1,1,31016,1,1,1
100205,1,1,22916,1,1,3
100208,1,1,30816,1,1,3
100215,1,1,30516,1,1,1
100225,1,1,22916,1,1,2
100235,1,1,22916,1,1,4
100237,1,1,41716,1,1,3
100241,1,1,30516,1,1,4
100248,1,1,22916,1,1,3
100251,1,1,30516,1,1,4
100253,1,1,22916,1,1,3
100256,1,1,30316,2,2,4
100257,1,1,22916,1,1,4
100261,1,1,30516,1,1,4
100266,1,1,22916,1,1,3
100267,1,1,41016,1,1,4
100268,1,1,22916,1,1,4
100269,1,1,30316,1,1,3
100272,1,1,30416,1,1,2
