"","psraid","sample","segment","int_date","lang","scregion","sstate"
"1",101465,1,1,30816,2,4,6
"2",200790,2,2,30416,1,4,35
"3",204318,2,2,33016,1,3,24
"4",209050,2,2,50416,1,3,48
"5",204150,2,2,32916,1,1,42
"6",207973,2,2,50416,1,3,40
"7",204515,2,2,50416,2,3,12
"8",100692,1,1,30316,1,3,24
"9",200517,2,2,30216,1,2,17
"10",300053,1,3,30216,1,3,13
"11",100927,1,1,30416,1,1,36
"12",202475,2,2,31516,1,3,48
"13",202072,2,2,31316,1,4,41
"14",300187,1,3,31316,1,3,48
"15",202722,2,2,32016,2,3,48
"16",206722,2,2,42216,1,3,48
"17",200260,2,2,31316,1,3,48
"18",103330,1,1,50816,1,4,53
"19",208980,2,2,50316,1,4,6
"20",101632,1,1,31216,1,3,48
"21",203875,2,2,40716,1,4,49
"22",101313,1,1,30816,1,4,53
"23",300183,1,3,32016,1,1,36
"24",101416,1,1,32616,1,2,19
"25",209006,2,2,50316,1,3,11
"26",400383,2,4,40916,1,3,37
"27",208568,2,2,50516,1,1,25
"28",201136,2,2,30816,1,4,2
"29",300236,1,3,32016,1,3,37
"30",103380,1,1,50116,1,3,13
"31",207628,2,2,42816,1,3,12
"32",100282,1,1,22916,1,3,48
"33",102978,1,1,50116,1,1,42
"34",208678,2,2,50516,1,3,13
"35",203136,2,2,32116,1,3,12
"36",209019,2,2,50316,1,4,6
"37",203127,2,2,32116,1,3,24
"38",203537,2,2,32416,1,4,6
"39",101920,1,1,31616,1,4,6
"40",200905,2,2,30416,1,2,26
"41",400086,2,4,30316,1,3,28
"42",208541,2,2,50216,1,2,39
"43",206908,2,2,42316,1,4,6
"44",101138,1,1,30816,1,4,6
"45",205207,2,2,40816,1,1,36
"46",206722,2,2,42216,1,3,48
"47",204971,2,2,40616,1,1,36
"48",102723,1,1,41616,1,1,36
"49",202475,2,2,31516,2,4,6
"50",103461,1,1,50116,1,2,17
"51",204203,2,2,32916,1,2,17
"52",207512,2,2,42616,1,3,51
"53",206272,2,2,42216,1,4,6
"54",206123,2,2,41616,1,3,54
"55",203532,2,2,32416,1,4,6
"56",203868,2,2,41016,1,4,6
"57",102849,1,1,42316,1,1,42
"58",102299,1,1,42316,1,3,12
"59",206453,2,2,42016,1,3,48
"60",209193,2,2,50416,1,4,41
"61",101113,1,1,30516,1,4,6
"62",207784,2,2,42916,1,1,36
"63",100614,1,1,30216,1,3,37
"64",103297,1,1,43016,1,3,28
"65",101426,1,1,30816,1,2,17
"66",209477,2,2,50416,1,4,6
"67",204178,2,2,32916,1,2,39
"68",101529,1,1,30816,1,3,37
"69",207134,2,2,42416,1,3,28
"70",200779,2,2,30316,1,4,6
"71",200500,2,2,30216,1,3,48
"72",201469,2,2,30916,1,3,12
"73",300069,1,3,30216,1,3,22
"74",204414,2,2,33116,1,3,12
"75",100282,1,1,22916,1,4,6
"76",101781,1,1,31216,1,3,48
"77",203620,2,2,40516,1,2,17
"78",202260,2,2,31316,1,4,8
"79",206644,2,2,42116,1,2,17
"80",101392,1,1,30816,1,3,22
"81",400643,2,4,50116,1,2,39
"82",101080,1,1,30816,1,3,24
"83",207631,2,2,42716,1,1,25
"84",103682,1,1,50416,1,3,47
"85",205470,2,2,41016,1,4,4
"86",103392,1,1,50416,1,3,37
"87",204087,2,2,32816,1,3,48
"88",207958,2,2,43016,1,3,1
