"""psraid"" ""sample"" ""segment"" ""int_date"" ""lang"" ""stz"" ""scregion"" ""sstate"" ""susr"" ""sstratum"" ""form"" ""qs1"" ""qs2a"" ""qs2b"" ""qs3"" ""q1"" ""q2a"" ""q2b"" ""q2c"" ""q4a"" ""q4b"" ""q4c"" ""q4df1"" ""q4ef2"" ""q5f1"" ""q5af1"" ""q6f2"" ""q6af2"" ""hisp"" ""race3m1"" ""race3m2"" ""race3m3"" ""race3m4"" ""q7"" ""q8"" ""q8a"" ""q10a"" ""q10b"" ""q10c"" ""q10d"" ""snsint2"" ""q13a"" ""q13b"" ""q15a"" ""q15b"" ""q16"" ""q18"" ""q19af1"" ""q19bf1"" ""q19cf1"" ""q19df1"" ""q19ef1"" ""q19ff1"" ""q19af2"" ""q19bf2"" ""q19cf2"" ""q19df2"" ""q19ef2"" ""q19ff2"" ""q20a"" ""q20b"" ""q20c"" ""q20d"" ""q20e"" ""q21a"" ""q21b"" ""q21c"" ""q22"" ""q23"" ""q24a"" ""q24bf1"" ""q24cf2"" ""q24d"" ""q24ef1"" ""q24ff2"" ""q27"" ""q30a"" ""q30b"" ""q30c"" ""q33"" ""q34"" ""q35"" ""q36"" ""q42"" ""q43a"" ""q43b"" ""q43c"" ""q43d"" ""sex"" ""age"" ""marital"" ""lwp"" ""educ2"" ""schl"" ""q100"" ""qe3"" ""birth_hisp"" ""q101"" ""relig"" ""chr"" ""born"" ""attend"" ""q102"" ""income"" ""reg"" ""party"" ""partyln"" ""ideo"" ""hh1"" ""hh3"" ""ql1"" ""ql1a"" ""qc1"" ""racethn"" ""raceos"" ""religos"" ""racecmb"" ""usr"" ""cregion"" ""state"" ""density"" ""child"" ""partysum"" ""partyideo"" ""gen5"" ""racethn2"" ""recage"" ""recage2"" ""receduc"" ""adults"" ""iphoneuse"" ""hphoneuse"" ""ll"" ""cp"" ""weight"""
"""1"" 100002 1 1 22916 1 ""E"" 3 13 ""U"" 7 2 NA NA NA NA 3 1 1 1 2 1 1 NA 2 NA NA 2 2 2 1 NA NA NA NA 2 1 2 2 4 2 2 NA NA 3 3 1 2 NA NA NA NA NA NA 3 3 1 3 3 3 2 2 2 2 2 NA NA NA 2 2 1 NA 1 2 NA 1 4 NA NA NA 1 3 3 2 2 2 2 2 1 1 81 5 NA 3 NA NA 3 NA 3 1 NA 1 3 NA 5 1 2 NA 2 1 NA 1 NA NA 1 """" """" 1 ""U"" 3 13 3 0 2 4 2 1 6 4 1 1 2 2 1 1 0.795606702397596"
"""2"" 100003 1 1 22916 1 ""E"" 1 36 ""U"" 9 2 NA NA NA NA 1 2 1 2 2 2 2 NA 2 NA NA 2 1 1 7 NA NA NA NA 1 1 2 2 3 2 1 2 4 3 3 2 2 NA NA NA NA NA NA 1 1 1 1 1 1 2 1 2 2 1 NA NA NA 1 1 1 NA 1 3 NA 1 4 NA NA NA 2 3 1 2 2 2 2 2 2 1 50 1 NA 4 5 NA 1 1 3 2 NA 2 4 NA 6 1 2 NA 3 3 2 2 2 NA 3 """" """" 5 ""U"" 1 36 5 1 2 4 4 3 4 3 2 2 1 1 1 0 2.16714859256574"
"""3"" 100008 1 1 22916 1 ""E"" 2 18 ""U"" 7 1 NA NA NA NA 1 2 2 2 2 2 2 2 NA 1 3 NA NA 2 1 NA NA NA NA 1 1 2 2 3 2 1 3 3 3 3 3 3 2 3 3 3 3 3 NA NA NA NA NA NA 2 1 2 2 1 NA NA NA 2 4 3 1 NA 1 1 NA 4 NA NA NA 2 4 4 4 1 2 2 2 2 1 48 1 NA 8 5 NA 1 NA 3 1 NA 1 2 NA 7 1 1 NA 1 6 2 1 NA NA 1 """" """" 1 ""U"" 2 18 5 4 1 1 4 1 4 2 3 2 2 2 1 1 0.653381947253541"
"""4"" 100010 1 1 22916 1 ""E"" 1 34 ""S"" 8 1 NA NA NA NA 1 1 1 2 4 2 1 3 NA 2 3 NA NA 2 1 NA NA NA NA 3 2 1 9 1 2 2 NA NA 2 1 2 2 3 1 3 1 3 1 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 4 9 1 1 NA 1 1 NA 4 NA NA NA 1 3 1 1 2 2 2 2 2 2 80 6 NA 8 NA NA 3 NA 3 10 NA NA 6 NA 7 1 2 NA 2 1 NA 1 NA NA 1 """" """" 1 ""S"" 1 34 5 0 2 4 2 1 6 4 3 1 2 2 1 1 0.556183619864585"
"""5"" 100014 1 1 22916 1 ""E"" 2 26 ""S"" 9 2 NA NA NA NA 2 2 1 1 2 3 1 NA 2 NA NA 2 1 2 1 NA NA NA NA 3 1 2 2 1 9 1 4 4 2 1 3 2 NA NA NA NA NA NA 9 3 9 1 1 1 2 2 2 2 2 NA NA NA 2 2 2 NA 1 3 NA 1 4 NA NA NA 1 2 2 2 2 2 2 2 2 2 65 1 NA 6 NA NA 5 NA 3 1 NA 2 2 NA 6 1 3 2 4 2 2 1 NA NA 1 """" """" 1 ""S"" 2 26 5 0 2 3 3 1 6 4 3 2 2 2 1 1 0.244796863199371"
"""6"" 100018 1 1 30516 1 ""C"" 3 28 ""R"" 10 1 NA NA NA NA 2 4 1 5 2 4 4 4 NA 2 3 NA NA 2 1 NA NA NA NA 1 5 9 4 4 4 1 2 4 3 3 1 3 3 9 9 9 9 2 NA NA NA NA NA NA 2 2 2 2 1 NA NA NA 4 4 3 3 NA 1 3 NA 4 NA NA NA 2 4 9 9 2 2 2 2 2 1 68 1 NA 4 NA NA 5 NA 3 12 NA NA 5 NA 6 1 1 NA 3 2 2 1 NA NA 1 """" """" 1 ""R"" 3 28 1 0 1 2 3 1 6 4 2 2 2 2 1 1 0.2"
"""7"" 100020 1 1 31216 1 ""C"" 3 40 ""U"" 3 1 NA NA NA NA 1 1 1 1 2 2 1 2 NA 2 2 NA NA 2 1 NA NA NA NA 3 1 2 2 3 1 1 3 4 3 3 1 2 3 3 3 3 3 3 NA NA NA NA NA NA 2 2 2 2 2 NA NA NA 2 4 2 1 NA 1 1 NA 4 NA NA NA 1 2 3 3 2 2 2 2 2 2 54 1 NA 6 5 NA 3 NA 2 1 NA 1 1 NA 8 1 1 NA 1 2 2 1 NA NA 1 """" """" 1 ""U"" 3 40 3 0 1 1 3 1 4 3 3 2 2 2 1 1 1.82305004089649"
"""8"" 100022 1 1 30316 1 ""E"" 1 34 ""U"" 10 2 NA NA NA NA 2 4 3 3 3 4 3 NA 3 NA NA 1 NA 2 2 NA NA NA 2 3 4 1 1 2 1 2 NA NA 3 2 2 2 NA NA NA NA NA NA 1 1 1 1 3 3 2 1 2 2 1 2 2 2 1 3 1 NA 1 1 NA 1 4 2 2 3 3 NA NA NA 2 2 2 2 2 2 29 6 NA 3 5 NA 1 NA 3 1 NA 2 6 NA 6 1 2 NA 2 2 2 1 NA NA 2 """" """" 2 ""U"" 1 34 5 0 2 4 5 2 2 1 1 2 2 2 1 1 0.380877099358432"
"""9"" 100026 1 1 30116 1 ""C"" 3 48 ""U"" 9 1 NA NA NA NA 3 2 3 4 2 2 1 1 NA 2 3 NA NA 2 2 5 NA NA NA 3 2 1 1 3 1 1 3 4 1 1 2 2 1 1 1 3 1 3 NA NA NA NA NA NA 2 1 1 2 1 NA NA NA 2 2 1 1 NA 2 1 NA 2 NA NA NA 2 2 2 3 2 2 2 2 2 1 75 1 NA 8 NA NA 3 NA 3 1 NA 1 1 NA 5 1 2 NA 3 2 2 1 NA NA 4 """" """" 4 ""U"" 3 48 5 0 2 4 2 5 6 4 3 2 2 2 1 1 0.207800321302414"
"""10"" 100029 1 1 22916 1 ""C"" 2 27 ""R"" 1 2 NA NA NA NA 1 1 1 2 2 3 3 NA 3 NA NA 3 NA 2 1 NA NA NA NA 4 NA 2 2 3 1 1 9 4 9 3 9 9 NA NA NA NA NA NA 9 3 3 3 9 9 2 2 2 2 1 NA NA NA 2 9 9 NA 3 9 NA 1 4 NA NA NA 1 3 3 3 2 2 2 2 2 2 49 1 NA 6 5 NA 1 NA 3 1 NA 2 2 NA 8 1 9 9 2 2 2 1 NA NA 1 """" """" 1 ""R"" 2 27 1 0 9 9 4 1 4 2 3 2 2 2 1 1 1.5286809374095"
